userId,moderator,reason,appealStatus,expirationDate,dateIssued,type
799448387917316106,itilva8630,Trolling in live chat tickets.,Unappealable.,N/A,3/15/21,Full Blacklist
807374318207500308,itilva8630,"Disrespect via communications server, toxicity, failing to comply with staff.",Unappealable.,N/A,3/11/21,Full Blacklist
588593644303417346,itilva8630,Abusing ticket system.,Appealable.,N/A,N/A,Full Blacklist
778314477908262923,itilva8630,Abusing ticket system.,Appealable.,N/A,N/A,Full Blacklist
787669481350627398,itilva8630,Abusing ticket system.,Appealable.,N/A,N/A,Full Blacklist
485254337031831552,itilva8630,Impersonating Lightning staff. Creating domains to start drama.,Unappealable.,N/A,3/16/21,Full Blacklist
715896142696546305,itilva8630,"Modifying Stryx services, was warned to stop yet didn't.",Appealble,N/A,3/18/21,Service Blacklist
520700661902475264,System,Staff of a competitor product. - Discord ban for msusing suggestion system.,Appealable.,N/A,N/A,Full Blacklist
533615187530612751,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
490270261522989056,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
191592668239757313,itilva8630,Staff of a competitor product. - Discord ban for not complying with staff.,"Appealable. - Attempted appeal, failed.",N/A,N/A,Full Blacklist
529726660493312020,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
240190223701639168,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
333201389595525120,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
488489552806281247,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
189860980392460299,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
289894338132180992,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
731112232217477120,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
188377141132394497,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
755077549620592641,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
191999893978480641,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
391389379920396289,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
501160027273560085,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
702657095488634882,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
311659744194461696,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
161993436872835072,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
482536723235209216,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
497833788253011968,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
652274237247193099,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
785759629887537172,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
703421202080858112,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
434131015322042380,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
211244908462342157,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
755144192099090543,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
707253725349019689,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
755144192099090543,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
729117530224066611,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
797632457305620483,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
497081612954107905,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
701158122034692168,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
816423259528495154,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
474688197536907274,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
526411023230435328,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
669611281661296651,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
272677613649133568,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
191999893978480641,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
348878974631542786,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
281188880886136833,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
746765237159591946,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
605569425898340357,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
798615619087237120,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
728366473663217805,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
693420759401627690,System,Staff of a competitor product.,Appealable.,N/A,N/A,Service Blacklist
775521975963090996,System,"Spam opening tickets, stealing competitors code. License violations of other sites.",Unappealable.,N/A,3/20/21,Full Blacklist